Nro,Rubro,Monto
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,-863064.00
8000004,EBITDA,-863064.00
8000005,CAPITAL DE TRABAJO,18553.00
8000006,LIQUIDEZ,3.80
8000007,SOLVENCIA,1458.14
8000008,INMOVILIZACION DEL CAPITAL,1.00
8000009,RENTABILIDAD PATRIMONIO NETO,0.19
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.00
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.00
8000013,APALANCAMIENTO,1.00
8000014,MARGEN NETO / VENTAS,16.32
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.09
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,756.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,4957.00
1121999,CUENTAS POR COBRAR CORRIENTES,19476.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,25189.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,9803582.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,9803582.00
1999999,TOTAL DEL ACTIVO,9828771.00
2210999,CAPITAL,2005463.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,676882.00
2211100,RESERVA LEGAL,401093.00
2211200,OTRAS RESERVAS,6069988.00
2211999,GANANCIAS RESERVADAS,6471081.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,928932.00
2213999,RESULTADOS INTEGRALES,-260323.00
2299999,TOTAL PATRIMONIO NETO,9822035.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,6636.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6636.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,100.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,100.00
2399999,TOTAL DEL PASIVO,6736.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,9828771.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,56922.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2888.00
3009999,GANANCIA (PERDIDA) BRUTA,54034.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-36313.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,17721.00
3021400,INGRESOS FINANCIEROS,11382.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-76240.00
3021900,OTROS RESULTADOS,977079.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,929942.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1010.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,928932.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,928932.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-71829.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,881124.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-809414.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-119.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.01
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,-863064.00
8000004,EBITDA,-863064.00
8000005,CAPITAL DE TRABAJO,18553.00
8000006,LIQUIDEZ,3.80
8000007,SOLVENCIA,1458.14
8000008,INMOVILIZACION DEL CAPITAL,1.00
8000009,RENTABILIDAD PATRIMONIO NETO,0.19
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.00
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.00
8000013,APALANCAMIENTO,1.00
8000014,MARGEN NETO / VENTAS,16.32
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.09
