Nro,Rubro,Monto
1110200,ACTIVOS INTANGIBLES,9252
1122300,OTROS ACTIVOS FINANCIEROS,3246
1122400,OTROS ACTIVOS NO FINANCIEROS,3277
1999999,TOTAL DEL ACTIVO,8129442
2210999,CAPITAL,559703
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,155017
2211200,OTRAS RESERVAS,47782
2211999,GANANCIAS RESERVADAS,202799
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,16779
2213999,RESULTADOS INTEGRALES,14074
2299999,TOTAL PATRIMONIO NETO,793355
2311000,DEPOSITOS,1555862
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",718424
2311300,PROVISIONES,17340
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,3279686
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,1686512
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,19509
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,58754
2399999,TOTAL DEL PASIVO,7336087
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8129442
3000100,INGRESOS POR INTERESES,867195
3000200,EGRESOS POR INTERESES,-822345
3000102,INGRESOS POR COMISIONES,184691
3000201,EGRESOS POR COMISIONES,-8024
3000101,CARGO POR INCOBRABILIDAD,-57112
3009999,INGRESO OPERATIVO NETO,164405
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-131011
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1816
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,31578
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-14799
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,16779
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-4303
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,12476
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1710348
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-4305
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-1875847
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-169804
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.03
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.03
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),669215
8000003,EBIT,31578
8000004,EBITDA,33394
8000005,CAPITAL DE TRABAJO,-1618700
8000006,LIQUIDEZ,0.7
8000007,SOLVENCIA,0.11
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,0.04
8000010,RENTABILIDAD DEL ACTIVO,0
8000011,ENDEUDAMIENTO,9.25
8000013,APALANCAMIENTO,10.25
8000014,MARGEN NETO / INGRESOS,8.17
8000015,DEUDA FINANCIERA / EBITDA,170.23
8000017,ANALISIS DUPONT,0.04
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,136828
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,7807577
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",21250
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,126209
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,1312
1110100,PROPIEDAD PLANTA Y EQUIPO,20491
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,9252
1122300,OTROS ACTIVOS FINANCIEROS,3246
1122400,OTROS ACTIVOS NO FINANCIEROS,3277
1999999,TOTAL DEL ACTIVO,8129442
2210999,CAPITAL,559703
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,155017
2211200,OTRAS RESERVAS,47782
2211999,GANANCIAS RESERVADAS,202799
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,16779
2213999,RESULTADOS INTEGRALES,14074
2299999,TOTAL PATRIMONIO NETO,793355
2311000,DEPOSITOS,1555862
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",718424
2311300,PROVISIONES,17340
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,3279686
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,1686512
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,19509
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,58754
2399999,TOTAL DEL PASIVO,7336087
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8129442
3000100,INGRESOS POR INTERESES,867195
3000200,EGRESOS POR INTERESES,-822345
3000102,INGRESOS POR COMISIONES,184691
3000201,EGRESOS POR COMISIONES,-8024
3000101,CARGO POR INCOBRABILIDAD,-57112
3009999,INGRESO OPERATIVO NETO,164405
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-131011
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1816
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,31578
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-14799
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,16779
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-4303
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,12476
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1710348
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-4305
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-1875847
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-169804
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.03
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.03
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),669215
8000003,EBIT,31578
8000004,EBITDA,33394
8000005,CAPITAL DE TRABAJO,-1618700
8000006,LIQUIDEZ,0.7
8000007,SOLVENCIA,0.11
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,0.04
8000010,RENTABILIDAD DEL ACTIVO,0
8000011,ENDEUDAMIENTO,9.25
8000013,APALANCAMIENTO,10.25
8000014,MARGEN NETO / INGRESOS,8.17
8000015,DEUDA FINANCIERA / EBITDA,170.23
8000017,ANALISIS DUPONT,0.04
